danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,is_hit
0.321,0.49,2.0,-6.139,1.0,0.0295,0.586,0.0,0.0644,0.279,149.563,219800.0,1
0.46,0.49,1.0,-13.268,1.0,0.336,0.939,2.86e-06,0.154,0.769,76.334,225160.0,0
0.586,0.616,5.0,-7.964,1.0,0.0324,0.182,0.0,0.0927,0.719,148.088,242096.0,0
0.412,0.964,6.0,-7.557,0.0,0.169,1.84e-06,0.146,0.502,0.232,142.536,293346.0,1
0.698,0.874,9.0,-2.707,1.0,0.0779,0.312,0.0,0.177,0.807,156.976,186293.0,0
0.704,0.659,3.0,-5.959,1.0,0.0315,0.00197,3.36e-06,0.141,0.542,120.064,193360.0,0
0.554,0.497,6.0,-9.18,1.0,0.0296,0.579,0.0,0.469,0.75,96.002,329061.0,0
0.777,0.698,1.0,-7.339,1.0,0.37,0.256,0.0,0.0648,0.932,92.317,501281.0,0
0.505,0.687,1.0,-11.207,1.0,0.0462,0.234,0.0,0.874,0.72,104.315,174780.0,0
0.75,0.724,1.0,-6.831,1.0,0.0471,0.246,1.32e-05,0.123,0.439,119.982,187015.0,0
0.53,0.333,8.0,-9.658,1.0,0.0277,0.839,0.0191,0.12,0.153,139.851,192533.0,0
0.77,0.936,1.0,-3.091,1.0,0.0446,0.184,3.57e-06,0.235,0.851,104.059,215159.0,0
0.209,0.417,3.0,-8.74,1.0,0.0338,0.164,0.00196,0.113,0.124,138.178,295533.0,0
0.299,0.448,1.0,-7.819,1.0,0.0452,0.0275,0.0,0.0892,0.172,177.59,221440.0,1
0.552,0.769,2.0,-4.504,0.0,0.0465,0.497,0.0,0.112,0.702,86.957,348966.0,0
0.716,0.92,1.0,-3.078,1.0,0.248,0.0181,0.000711,0.0509,0.455,151.054,235629.0,0
0.621,0.844,7.0,-5.238,1.0,0.0496,0.0384,2.23e-05,0.0709,0.478,147.983,207677.0,0
0.581,0.872,0.0,-6.182,1.0,0.0404,0.00733,0.0,0.11,0.787,75.035,179200.0,0
0.717,0.931,0.0,-6.977,1.0,0.0314,0.592,4.35e-06,0.261,0.964,115.993,177960.0,0
0.702,0.782,5.0,-0.73,0.0,0.0778,0.0589,0.0,0.314,0.571,166.862,376526.0,0
0.456,0.964,10.0,-3.77,1.0,0.0583,0.00221,0.0,0.241,0.688,150.007,227467.0,0
0.758,0.545,0.0,-7.855,1.0,0.135,0.732,0.0,0.122,0.271,119.935,136153.0,1
0.7,0.771,1.0,-5.187,1.0,0.226,0.0302,0.0,0.319,0.621,146.93,205589.0,0
0.23,0.528,9.0,-11.376,1.0,0.0521,0.113,0.869,0.684,0.136,135.716,466547.0,0
0.492,0.773,2.0,-5.845,0.0,0.0369,0.0022,0.835,0.305,0.197,123.974,365080.0,0
0.529,0.652,9.0,-6.177,1.0,0.0254,0.716,0.000836,0.11,0.467,110.02,172172.0,0
0.306,0.722,0.0,-5.963,1.0,0.034,0.0519,0.0,0.117,0.41,174.732,200293.0,1
0.65,0.648,5.0,-6.557,1.0,0.0237,0.463,9.79e-05,0.125,0.729,95.037,176842.0,0
0.527,0.0328,3.0,-17.784,1.0,0.063,0.99,0.942,0.111,0.205,95.319,156152.0,0
0.509,0.878,1.0,-6.531,0.0,0.112,4.94e-05,0.0,0.0443,0.409,152.425,124600.0,0
0.458,0.94,10.0,-4.533,0.0,0.0894,0.0243,0.0377,0.226,0.181,164.981,340986.0,0
0.633,0.626,7.0,-10.593,1.0,0.0394,0.532,0.00796,0.144,0.391,119.911,205313.0,0
0.642,0.57,1.0,-4.966,1.0,0.0421,0.0235,0.0,0.329,0.731,92.042,204187.0,1
0.703,0.674,4.0,-7.185,1.0,0.079,0.636,0.468,0.103,0.592,97.021,210346.0,1
0.654,0.884,1.0,-7.001,1.0,0.0394,0.421,0.000282,0.0857,0.784,167.282,297404.0,0
0.613,0.9,2.0,-5.515,1.0,0.0422,0.575,0.0,0.158,0.868,178.03,245040.0,0
0.396,0.832,4.0,-4.95,0.0,0.0375,0.000475,0.0021,0.38,0.532,107.955,260000.0,0
0.391,0.297,4.0,-17.613,0.0,0.0372,0.931,0.649,0.11,0.293,95.233,67426.0,0
0.539,0.413,5.0,-14.265,0.0,0.0297,0.622,0.222,0.12,0.439,97.971,157987.0,0
0.338,0.847,3.0,-3.692,1.0,0.0458,0.00881,0.00105,0.147,0.232,139.061,341255.0,1
0.676,0.825,4.0,-3.723,0.0,0.0503,0.0996,0.0,0.344,0.838,132.028,242936.0,0
0.945,0.625,10.0,-8.055,0.0,0.101,0.177,0.00458,0.0842,0.625,110.026,295697.0,0
0.837,0.638,7.0,-9.358,1.0,0.128,0.00751,0.0732,0.0919,0.467,121.006,212214.0,0
0.42,0.977,1.0,-4.348,1.0,0.104,0.000212,0.000211,0.421,0.711,183.156,189466.0,0
0.873,0.613,2.0,-6.687,1.0,0.0384,0.0632,1.09e-05,0.113,0.743,116.025,264680.0,0
